nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,13.43,16,Legends,2024-12-20
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,1.93,54,Legends,2024-12-20
Adesivo | FaZe Clan (Dourado) | Xangai 2024,8.18,19,Legends,2024-12-20
Adesivo | Natus Vincere (Dourado) | Xangai 2024,6.18,25,Legends,2024-12-20
Adesivo | Vitality (Dourado) | Xangai 2024,4.84,20,Legends,2024-12-20
Adesivo | Team Spirit (Dourado) | Xangai 2024,18.55,31,Legends,2024-12-20
Adesivo | MOUZ (Dourado) | Xangai 2024,7.24,24,Legends,2024-12-20
Adesivo | FaZe Clan | Xangai 2024,0.04,253,Legends,2024-12-20
Adesivo | Natus Vincere | Xangai 2024,0.04,544,Legends,2024-12-20
Adesivo | 3DMAX (Dourado) | Xangai 2024,6.84,17,Legends,2024-12-20
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,1.86,30,Legends,2024-12-20
Cápsula de Adesivos das Lendas do Xangai 2024,1.1,569,Legends,2024-12-20
Adesivo | G2 Esports (Holográfico) | Xangai 2024,3.96,62,Legends,2024-12-20
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.09,120,Legends,2024-12-17
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.21,105,Legends,2024-12-20
Adesivo | Team Spirit | Xangai 2024,0.07,363,Legends,2024-12-20
Adesivo | MOUZ (Holográfico) | Xangai 2024,4.88,30,Legends,2024-12-20
Adesivo | HEROIC | Xangai 2024,0.03,643,Legends,2024-12-17
Adesivo | HEROIC (Dourado) | Xangai 2024,2.35,23,Legends,2024-12-20
Adesivo | Vitality | Xangai 2024,0.03,669,Legends,2024-12-20
Adesivo | Vitality (Holográfico) | Xangai 2024,0.86,61,Legends,2024-12-20
Adesivo | 3DMAX | Xangai 2024,0.04,442,Legends,2024-12-20
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.07,163,Legends,2024-12-17
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.23,119,Legends,2024-12-16
Adesivo | G2 Esports | Xangai 2024,0.07,387,Legends,2024-12-20
Adesivo | MOUZ | Xangai 2024,0.04,613,Legends,2024-12-20
Adesivo | hallzerk (Dourado) | Xangai 2024,10.4,2,Autographs,2024-12-20
Adesivo | YEKINDAR (Dourado) | Xangai 2024,81.59,2,Autographs,2024-12-17
Adesivo | JT (Dourado) | Xangai 2024,14.78,7,Autographs,2024-12-20
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,30.66,5,Autographs,2024-12-20
Adesivo | tabseN (Dourado) | Xangai 2024,35.32,2,Autographs,2024-12-20
Adesivo | bodyy (Dourado) | Xangai 2024,10.49,5,Autographs,2024-12-14
Adesivo | Liazz (Dourado) | Xangai 2024,5.41,6,Autographs,2024-12-20
Adesivo | rigoN (Dourado) | Xangai 2024,9.14,6,Autographs,2024-12-20
Adesivo | electronic (Holográfico) | Xangai 2024,1.92,11,Autographs,2024-12-20
Adesivo | afro (Purpurinado) | Xangai 2024,0.1,34,Autographs,2024-12-17
Adesivo | bLitz (Holográfico) | Xangai 2024,2.36,10,Autographs,2024-12-20
Adesivo | EliGE (Dourado) | Xangai 2024,13.25,6,Autographs,2024-12-20
Adesivo | s-chilla (Dourado) | Xangai 2024,22.24,4,Autographs,2024-12-20
Adesivo | jackasmo (Dourado) | Xangai 2024,13.0,5,Autographs,2024-12-20
Adesivo | ultimate (Dourado) | Xangai 2024,75.69,6,Autographs,2024-12-20
Adesivo | L1haNg (Dourado) | Xangai 2024,21.39,6,Autographs,2024-12-20
Adesivo | Jame (Dourado) | Xangai 2024,20.73,2,Autographs,2024-12-17
Adesivo | JDC (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-20
Adesivo | KRIMZ (Dourado) | Xangai 2024,7.79,4,Autographs,2024-12-20
Adesivo | blameF (Holográfico) | Xangai 2024,1.03,4,Autographs,2024-12-17
Adesivo | Snax (Dourado) | Xangai 2024,11.24,15,Autographs,2024-12-20
Adesivo | kyxsan (Dourado) | Xangai 2024,3.41,18,Autographs,2024-12-20
Adesivo | floppy (Holográfico) | Xangai 2024,0.93,12,Autographs,2024-12-20
Adesivo | chelo (Dourado) | Xangai 2024,50.0,1,Autographs,2024-12-20
Adesivo | Maka (Dourado) | Xangai 2024,5.77,16,Autographs,2024-12-17
Adesivo | JDC (Holográfico) | Xangai 2024,0.0,0,Autographs,2024-12-20
Adesivo | FL1T (Holográfico) | Xangai 2024,0.65,17,Autographs,2024-12-20
Adesivo | jks (Holográfico) | Xangai 2024,27.43,2,Autographs,2024-12-17
Adesivo | ultimate (Purpurinado) | Xangai 2024,0.39,37,Autographs,2024-12-20
Adesivo | afro (Holográfico) | Xangai 2024,0.76,18,Autographs,2024-12-20
Adesivo | 910 (Dourado) | Xangai 2024,35.42,5,Autographs,2024-12-20
Adesivo | Kaze (Dourado) | Xangai 2024,96.37,3,Autographs,2024-12-20
Adesivo | susp (Dourado) | Xangai 2024,228.41,1,Autographs,2024-12-20
Adesivo | Graviti (Holográfico) | Xangai 2024,1.84,28,Autographs,2024-12-20
Adesivo | aliStair (Holográfico) | Xangai 2024,2.0,6,Autographs,2024-12-20
Adesivo | decenty (Holográfico) | Xangai 2024,5.03,6,Autographs,2024-12-20
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.47,47,Autographs,2024-12-17
Adesivo | biguzera (Dourado) | Xangai 2024,10.98,3,Autographs,2024-12-20
