nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,73.42,11,Legends,2024-12-13
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.47,29,Legends,2024-12-12
Adesivo | FaZe Clan (Dourado) | Xangai 2024,14.17,16,Legends,2024-12-13
Adesivo | Natus Vincere (Dourado) | Xangai 2024,7.33,25,Legends,2024-12-13
Adesivo | Vitality (Dourado) | Xangai 2024,14.95,19,Legends,2024-12-13
Adesivo | Team Spirit (Dourado) | Xangai 2024,57.19,6,Legends,2024-12-13
Adesivo | MOUZ (Dourado) | Xangai 2024,20.97,10,Legends,2024-12-13
Adesivo | FaZe Clan | Xangai 2024,0.07,311,Legends,2024-12-13
Adesivo | Natus Vincere | Xangai 2024,0.05,241,Legends,2024-12-13
Adesivo | 3DMAX (Dourado) | Xangai 2024,6.61,14,Legends,2024-12-13
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,1.7,42,Legends,2024-12-13
Cápsula de Adesivos das Lendas do Xangai 2024,1.04,136,Legends,2024-12-13
Adesivo | G2 Esports (Holográfico) | Xangai 2024,13.25,34,Legends,2024-12-13
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.8,43,Legends,2024-12-12
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.41,75,Legends,2024-12-13
Adesivo | Team Spirit | Xangai 2024,0.12,379,Legends,2024-12-13
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.84,26,Legends,2024-12-12
Adesivo | HEROIC | Xangai 2024,0.04,117,Legends,2024-12-12
Adesivo | HEROIC (Dourado) | Xangai 2024,6.03,20,Legends,2024-12-13
Adesivo | Vitality | Xangai 2024,0.14,76,Legends,2024-12-12
Adesivo | Vitality (Holográfico) | Xangai 2024,1.08,39,Legends,2024-12-13
Adesivo | 3DMAX | Xangai 2024,0.06,217,Legends,2024-12-13
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.15,49,Legends,2024-12-12
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.37,103,Legends,2024-12-13
Adesivo | G2 Esports | Xangai 2024,0.21,184,Legends,2024-12-13
Adesivo | MOUZ | Xangai 2024,0.05,261,Legends,2024-12-13
Adesivo | hallzerk (Dourado) | Xangai 2024,6.62,7,Autographs,2024-12-13
Adesivo | YEKINDAR (Dourado) | Xangai 2024,26.99,2,Autographs,2024-12-13
Adesivo | JT (Dourado) | Xangai 2024,17.86,2,Autographs,2024-12-12
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,7.89,9,Autographs,2024-12-13
Adesivo | tabseN (Dourado) | Xangai 2024,10.0,6,Autographs,2024-12-11
Adesivo | bodyy (Dourado) | Xangai 2024,3.31,6,Autographs,2024-12-13
Adesivo | Liazz (Dourado) | Xangai 2024,17.96,4,Autographs,2024-12-13
Adesivo | rigoN (Dourado) | Xangai 2024,17.95,3,Autographs,2024-12-13
Adesivo | electronic (Holográfico) | Xangai 2024,1.5,13,Autographs,2024-12-13
Adesivo | afro (Purpurinado) | Xangai 2024,0.07,41,Autographs,2024-12-13
Adesivo | bLitz (Holográfico) | Xangai 2024,58.0,1,Autographs,2024-12-13
Adesivo | EliGE (Dourado) | Xangai 2024,10.55,5,Autographs,2024-12-12
Adesivo | s-chilla (Dourado) | Xangai 2024,8.62,9,Autographs,2024-12-12
Adesivo | jackasmo (Dourado) | Xangai 2024,5.0,6,Autographs,2024-12-13
Adesivo | ultimate (Dourado) | Xangai 2024,138.0,2,Autographs,2024-12-13
Adesivo | L1haNg (Dourado) | Xangai 2024,18.1,3,Autographs,2024-12-11
Adesivo | Jame (Dourado) | Xangai 2024,16.79,3,Autographs,2024-12-13
Adesivo | JDC (Dourado) | Xangai 2024,23.34,2,Autographs,2024-12-13
Adesivo | KRIMZ (Dourado) | Xangai 2024,8.58,5,Autographs,2024-12-13
Adesivo | blameF (Holográfico) | Xangai 2024,1.05,4,Autographs,2024-12-13
Adesivo | Snax (Dourado) | Xangai 2024,36.69,9,Autographs,2024-12-13
Adesivo | kyxsan (Dourado) | Xangai 2024,5.75,7,Autographs,2024-12-11
Adesivo | floppy (Holográfico) | Xangai 2024,1.04,13,Autographs,2024-12-13
Adesivo | chelo (Dourado) | Xangai 2024,47.21,1,Autographs,2024-12-12
Adesivo | Maka (Dourado) | Xangai 2024,4.42,13,Autographs,2024-12-13
Adesivo | JDC (Holográfico) | Xangai 2024,1.23,13,Autographs,2024-12-13
Adesivo | FL1T (Holográfico) | Xangai 2024,1.0,12,Autographs,2024-12-11
Adesivo | jks (Holográfico) | Xangai 2024,10.0,5,Autographs,2024-12-13
Adesivo | ultimate (Purpurinado) | Xangai 2024,1.66,9,Autographs,2024-12-12
Adesivo | afro (Holográfico) | Xangai 2024,0.86,18,Autographs,2024-12-13
Adesivo | 910 (Dourado) | Xangai 2024,157.35,1,Autographs,2024-12-12
Adesivo | Kaze (Dourado) | Xangai 2024,99.99,1,Autographs,2024-12-13
Adesivo | susp (Dourado) | Xangai 2024,12.93,4,Autographs,2024-12-13
Adesivo | Graviti (Holográfico) | Xangai 2024,1.5,24,Autographs,2024-12-12
Adesivo | aliStair (Holográfico) | Xangai 2024,0.96,12,Autographs,2024-12-12
Adesivo | decenty (Holográfico) | Xangai 2024,3.18,8,Autographs,2024-12-12
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.73,26,Autographs,2024-12-13
Adesivo | biguzera (Dourado) | Xangai 2024,6.62,6,Autographs,2024-12-13
Adesivo | 910 (Holográfico) | Xangai 2024,11.38,5,Autographs,2024-12-13
Adesivo | FlameZ (Holográfico) | Xangai 2024,0.96,23,Autographs,2024-12-13
Adesivo | lux (Holográfico) | Xangai 2024,1.91,6,Autographs,2024-12-13
Adesivo | lux (Dourado) | Xangai 2024,27.73,6,Autographs,2024-12-13
Adesivo | NQZ (Dourado) | Xangai 2024,9.89,3,Autographs,2024-12-13
Adesivo | biguzera (Holográfico) | Xangai 2024,0.78,13,Autographs,2024-12-12
Adesivo | Twistzz (Purpurinado) | Xangai 2024,1.9,17,Autographs,2024-12-13
Adesivo | NAF (Dourado) | Xangai 2024,19.05,4,Autographs,2024-12-13
