nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,13.3,19,Legends,2024-12-16
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,3.26,30,Legends,2024-12-16
Adesivo | FaZe Clan (Dourado) | Xangai 2024,15.06,23,Legends,2024-12-16
Adesivo | Natus Vincere (Dourado) | Xangai 2024,7.49,19,Legends,2024-12-16
Adesivo | Vitality (Dourado) | Xangai 2024,7.59,24,Legends,2024-12-16
Adesivo | Team Spirit (Dourado) | Xangai 2024,34.22,27,Legends,2024-12-16
Adesivo | MOUZ (Dourado) | Xangai 2024,7.79,22,Legends,2024-12-16
Adesivo | FaZe Clan | Xangai 2024,0.07,228,Legends,2024-12-16
Adesivo | Natus Vincere | Xangai 2024,0.06,315,Legends,2024-12-16
Adesivo | 3DMAX (Dourado) | Xangai 2024,11.91,9,Legends,2024-12-16
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,1.75,31,Legends,2024-12-14
Cápsula de Adesivos das Lendas do Xangai 2024,1.46,377,Legends,2024-12-16
Adesivo | G2 Esports (Holográfico) | Xangai 2024,3.68,56,Legends,2024-12-16
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.09,117,Legends,2024-12-16
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.38,75,Legends,2024-12-16
Adesivo | Team Spirit | Xangai 2024,0.12,379,Legends,2024-12-13
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.46,23,Legends,2024-12-16
Adesivo | HEROIC | Xangai 2024,0.03,515,Legends,2024-12-16
Adesivo | HEROIC (Dourado) | Xangai 2024,4.1,27,Legends,2024-12-16
Adesivo | Vitality | Xangai 2024,0.03,699,Legends,2024-12-16
Adesivo | Vitality (Holográfico) | Xangai 2024,1.09,50,Legends,2024-12-16
Adesivo | 3DMAX | Xangai 2024,0.06,217,Legends,2024-12-13
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.08,120,Legends,2024-12-14
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.23,119,Legends,2024-12-16
Adesivo | G2 Esports | Xangai 2024,0.07,218,Legends,2024-12-14
Adesivo | MOUZ | Xangai 2024,0.04,299,Legends,2024-12-14
Adesivo | hallzerk (Dourado) | Xangai 2024,7.33,1,Autographs,2024-12-16
Adesivo | YEKINDAR (Dourado) | Xangai 2024,82.39,2,Autographs,2024-12-16
Adesivo | JT (Dourado) | Xangai 2024,17.16,5,Autographs,2024-12-16
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,6.46,6,Autographs,2024-12-16
Adesivo | tabseN (Dourado) | Xangai 2024,25.96,5,Autographs,2024-12-16
Adesivo | bodyy (Dourado) | Xangai 2024,10.49,5,Autographs,2024-12-14
Adesivo | Liazz (Dourado) | Xangai 2024,17.96,4,Autographs,2024-12-13
Adesivo | rigoN (Dourado) | Xangai 2024,17.72,5,Autographs,2024-12-16
Adesivo | electronic (Holográfico) | Xangai 2024,1.65,12,Autographs,2024-12-16
Adesivo | afro (Purpurinado) | Xangai 2024,0.11,39,Autographs,2024-12-14
Adesivo | bLitz (Holográfico) | Xangai 2024,4.53,5,Autographs,2024-12-14
Adesivo | EliGE (Dourado) | Xangai 2024,14.06,5,Autographs,2024-12-14
Adesivo | s-chilla (Dourado) | Xangai 2024,7.54,9,Autographs,2024-12-14
Adesivo | jackasmo (Dourado) | Xangai 2024,11.93,5,Autographs,2024-12-16
Adesivo | ultimate (Dourado) | Xangai 2024,73.64,6,Autographs,2024-12-16
Adesivo | L1haNg (Dourado) | Xangai 2024,39.27,2,Autographs,2024-12-14
Adesivo | Jame (Dourado) | Xangai 2024,20.82,2,Autographs,2024-12-16
Adesivo | JDC (Dourado) | Xangai 2024,9.6,6,Autographs,2024-12-16
Adesivo | KRIMZ (Dourado) | Xangai 2024,9.11,4,Autographs,2024-12-14
Adesivo | blameF (Holográfico) | Xangai 2024,1.05,6,Autographs,2024-12-16
Adesivo | Snax (Dourado) | Xangai 2024,16.35,12,Autographs,2024-12-16
Adesivo | kyxsan (Dourado) | Xangai 2024,4.23,16,Autographs,2024-12-16
Adesivo | floppy (Holográfico) | Xangai 2024,0.83,15,Autographs,2024-12-16
Adesivo | chelo (Dourado) | Xangai 2024,8.92,4,Autographs,2024-12-16
Adesivo | Maka (Dourado) | Xangai 2024,3.45,9,Autographs,2024-12-14
Adesivo | JDC (Holográfico) | Xangai 2024,1.38,10,Autographs,2024-12-16
Adesivo | FL1T (Holográfico) | Xangai 2024,0.65,19,Autographs,2024-12-16
Adesivo | jks (Holográfico) | Xangai 2024,27.27,3,Autographs,2024-12-14
Adesivo | ultimate (Purpurinado) | Xangai 2024,0.89,31,Autographs,2024-12-16
Adesivo | afro (Holográfico) | Xangai 2024,1.33,14,Autographs,2024-12-14
Adesivo | 910 (Dourado) | Xangai 2024,36.46,4,Autographs,2024-12-16
Adesivo | Kaze (Dourado) | Xangai 2024,62.99,2,Autographs,2024-12-16
Adesivo | susp (Dourado) | Xangai 2024,14.63,5,Autographs,2024-12-16
Adesivo | Graviti (Holográfico) | Xangai 2024,2.91,6,Autographs,2024-12-16
Adesivo | aliStair (Holográfico) | Xangai 2024,1.4,11,Autographs,2024-12-14
Adesivo | decenty (Holográfico) | Xangai 2024,1.46,17,Autographs,2024-12-14
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.47,43,Autographs,2024-12-16
Adesivo | biguzera (Dourado) | Xangai 2024,7.24,4,Autographs,2024-12-14
Adesivo | 910 (Holográfico) | Xangai 2024,6.62,11,Autographs,2024-12-16
Adesivo | FlameZ (Holográfico) | Xangai 2024,0.34,37,Autographs,2024-12-16
Adesivo | lux (Holográfico) | Xangai 2024,1.04,13,Autographs,2024-12-16
Adesivo | lux (Dourado) | Xangai 2024,13.63,6,Autographs,2024-12-16
Adesivo | NQZ (Dourado) | Xangai 2024,9.59,5,Autographs,2024-12-16
Adesivo | biguzera (Holográfico) | Xangai 2024,0.75,9,Autographs,2024-12-14
