nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,73.27,16,Legends,2024-12-12
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.47,29,Legends,2024-12-12
Adesivo | FaZe Clan (Dourado) | Xangai 2024,10.0,13,Legends,2024-12-12
Adesivo | Natus Vincere (Dourado) | Xangai 2024,9.24,19,Legends,2024-12-11
Adesivo | Vitality (Dourado) | Xangai 2024,47.92,10,Legends,2024-12-12
Adesivo | Team Spirit (Dourado) | Xangai 2024,45.36,6,Legends,2024-12-11
Adesivo | MOUZ (Dourado) | Xangai 2024,20.99,10,Legends,2024-12-12
Adesivo | FaZe Clan | Xangai 2024,0.05,82,Legends,2024-12-12
Adesivo | Natus Vincere | Xangai 2024,0.06,146,Legends,2024-12-12
Adesivo | 3DMAX (Dourado) | Xangai 2024,7.3,12,Legends,2024-12-12
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,2.59,32,Legends,2024-12-12
Cápsula de Adesivos das Lendas do Xangai 2024,1.4,235,Legends,2024-12-12
Adesivo | G2 Esports (Holográfico) | Xangai 2024,16.25,20,Legends,2024-12-12
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.8,43,Legends,2024-12-12
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.5,53,Legends,2024-12-10
Adesivo | Team Spirit | Xangai 2024,0.14,120,Legends,2024-12-12
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.84,26,Legends,2024-12-12
Adesivo | HEROIC | Xangai 2024,0.04,117,Legends,2024-12-12
Adesivo | HEROIC (Dourado) | Xangai 2024,8.48,16,Legends,2024-12-12
Adesivo | Vitality | Xangai 2024,0.14,76,Legends,2024-12-12
Adesivo | Vitality (Holográfico) | Xangai 2024,7.18,18,Legends,2024-12-11
Adesivo | 3DMAX | Xangai 2024,0.06,95,Legends,2024-12-12
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.15,49,Legends,2024-12-12
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.46,44,Legends,2024-12-12
