nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,80.5,15,Legends,2024-12-11
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.36,30,Legends,2024-12-11
Adesivo | FaZe Clan (Dourado) | Xangai 2024,7.45,20,Legends,2024-12-11
Adesivo | Natus Vincere (Dourado) | Xangai 2024,9.24,19,Legends,2024-12-11
Adesivo | Vitality (Dourado) | Xangai 2024,54.11,6,Legends,2024-12-11
Adesivo | Team Spirit (Dourado) | Xangai 2024,45.36,6,Legends,2024-12-11
Adesivo | MOUZ (Dourado) | Xangai 2024,12.72,17,Legends,2024-12-11
Adesivo | FaZe Clan | Xangai 2024,0.04,95,Legends,2024-12-10
Adesivo | Natus Vincere | Xangai 2024,0.05,140,Legends,2024-12-11
Adesivo | 3DMAX (Dourado) | Xangai 2024,6.86,10,Legends,2024-12-11
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,2.69,27,Legends,2024-12-11
Cápsula de Adesivos das Lendas do Xangai 2024,1.21,219,Legends,2024-12-11
Adesivo | G2 Esports (Holográfico) | Xangai 2024,11.96,24,Legends,2024-12-09
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.8,30,Legends,2024-12-10
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.5,53,Legends,2024-12-10
Adesivo | Team Spirit | Xangai 2024,0.08,107,Legends,2024-12-08
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.58,21,Legends,2024-12-10
Adesivo | HEROIC | Xangai 2024,0.03,318,Legends,2024-12-11
Adesivo | HEROIC (Dourado) | Xangai 2024,8.98,19,Legends,2024-12-11
Adesivo | Vitality | Xangai 2024,0.09,131,Legends,2024-12-11
Adesivo | Vitality (Holográfico) | Xangai 2024,7.18,18,Legends,2024-12-11
Adesivo | 3DMAX | Xangai 2024,0.06,81,Legends,2024-12-11
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.12,45,Legends,2024-12-11
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.3,57,Legends,2024-12-11
Adesivo | G2 Esports | Xangai 2024,0.2,70,Legends,2024-12-10
Adesivo | MOUZ | Xangai 2024,0.05,139,Legends,2024-12-11
Adesivo | hallzerk (Dourado) | Xangai 2024,7.55,6,Autographs,2024-12-11
