nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,10.44,18,Legends,2024-12-14
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,7.77,16,Legends,2024-12-14
Adesivo | FaZe Clan (Dourado) | Xangai 2024,77.32,9,Legends,2024-12-14
Adesivo | Natus Vincere (Dourado) | Xangai 2024,7.29,25,Legends,2024-12-14
Adesivo | Vitality (Dourado) | Xangai 2024,7.73,21,Legends,2024-12-14
Adesivo | Team Spirit (Dourado) | Xangai 2024,72.0,6,Legends,2024-12-14
Adesivo | MOUZ (Dourado) | Xangai 2024,9.55,15,Legends,2024-12-14
Adesivo | FaZe Clan | Xangai 2024,0.24,75,Legends,2024-12-14
Adesivo | Natus Vincere | Xangai 2024,0.05,577,Legends,2024-12-14
Adesivo | 3DMAX (Dourado) | Xangai 2024,5.7,12,Legends,2024-12-14
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,1.75,31,Legends,2024-12-14
Cápsula de Adesivos das Lendas do Xangai 2024,1.32,87,Legends,2024-12-14
Adesivo | G2 Esports (Holográfico) | Xangai 2024,6.61,46,Legends,2024-12-14
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.8,43,Legends,2024-12-12
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.41,75,Legends,2024-12-13
Adesivo | Team Spirit | Xangai 2024,0.12,379,Legends,2024-12-13
Adesivo | MOUZ (Holográfico) | Xangai 2024,4.9,27,Legends,2024-12-14
Adesivo | HEROIC | Xangai 2024,0.03,346,Legends,2024-12-14
Adesivo | HEROIC (Dourado) | Xangai 2024,5.4,18,Legends,2024-12-14
Adesivo | Vitality | Xangai 2024,0.14,76,Legends,2024-12-12
Adesivo | Vitality (Holográfico) | Xangai 2024,1.2,65,Legends,2024-12-14
Adesivo | 3DMAX | Xangai 2024,0.06,217,Legends,2024-12-13
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.08,120,Legends,2024-12-14
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.31,52,Legends,2024-12-14
Adesivo | G2 Esports | Xangai 2024,0.07,218,Legends,2024-12-14
Adesivo | MOUZ | Xangai 2024,0.04,299,Legends,2024-12-14
Adesivo | hallzerk (Dourado) | Xangai 2024,6.62,8,Autographs,2024-12-14
Adesivo | YEKINDAR (Dourado) | Xangai 2024,20.86,3,Autographs,2024-12-14
Adesivo | JT (Dourado) | Xangai 2024,17.85,3,Autographs,2024-12-14
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,6.5,8,Autographs,2024-12-14
Adesivo | tabseN (Dourado) | Xangai 2024,10.0,6,Autographs,2024-12-11
Adesivo | bodyy (Dourado) | Xangai 2024,10.49,5,Autographs,2024-12-14
Adesivo | Liazz (Dourado) | Xangai 2024,17.96,4,Autographs,2024-12-13
Adesivo | rigoN (Dourado) | Xangai 2024,17.95,3,Autographs,2024-12-13
Adesivo | electronic (Holográfico) | Xangai 2024,1.66,11,Autographs,2024-12-14
Adesivo | afro (Purpurinado) | Xangai 2024,0.11,39,Autographs,2024-12-14
Adesivo | bLitz (Holográfico) | Xangai 2024,4.53,5,Autographs,2024-12-14
Adesivo | EliGE (Dourado) | Xangai 2024,14.06,5,Autographs,2024-12-14
Adesivo | s-chilla (Dourado) | Xangai 2024,7.54,9,Autographs,2024-12-14
Adesivo | jackasmo (Dourado) | Xangai 2024,5.13,5,Autographs,2024-12-14
Adesivo | ultimate (Dourado) | Xangai 2024,115.0,3,Autographs,2024-12-14
Adesivo | L1haNg (Dourado) | Xangai 2024,39.27,2,Autographs,2024-12-14
Adesivo | Jame (Dourado) | Xangai 2024,12.58,3,Autographs,2024-12-14
Adesivo | JDC (Dourado) | Xangai 2024,23.34,2,Autographs,2024-12-13
Adesivo | KRIMZ (Dourado) | Xangai 2024,9.11,4,Autographs,2024-12-14
Adesivo | blameF (Holográfico) | Xangai 2024,1.05,6,Autographs,2024-12-14
Adesivo | Snax (Dourado) | Xangai 2024,36.69,9,Autographs,2024-12-13
Adesivo | kyxsan (Dourado) | Xangai 2024,4.71,10,Autographs,2024-12-14
Adesivo | floppy (Holográfico) | Xangai 2024,0.95,15,Autographs,2024-12-14
Adesivo | chelo (Dourado) | Xangai 2024,11.5,2,Autographs,2024-12-14
Adesivo | Maka (Dourado) | Xangai 2024,3.45,9,Autographs,2024-12-14
Adesivo | JDC (Holográfico) | Xangai 2024,1.21,15,Autographs,2024-12-14
Adesivo | FL1T (Holográfico) | Xangai 2024,1.0,12,Autographs,2024-12-11
Adesivo | jks (Holográfico) | Xangai 2024,27.27,3,Autographs,2024-12-14
Adesivo | ultimate (Purpurinado) | Xangai 2024,1.34,23,Autographs,2024-12-14
Adesivo | afro (Holográfico) | Xangai 2024,1.33,14,Autographs,2024-12-14
Adesivo | 910 (Dourado) | Xangai 2024,157.35,1,Autographs,2024-12-12
Adesivo | Kaze (Dourado) | Xangai 2024,99.99,1,Autographs,2024-12-13
Adesivo | susp (Dourado) | Xangai 2024,12.93,4,Autographs,2024-12-14
Adesivo | Graviti (Holográfico) | Xangai 2024,1.4,26,Autographs,2024-12-14
Adesivo | aliStair (Holográfico) | Xangai 2024,1.4,11,Autographs,2024-12-14
Adesivo | decenty (Holográfico) | Xangai 2024,1.46,17,Autographs,2024-12-14
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.69,28,Autographs,2024-12-14
Adesivo | biguzera (Dourado) | Xangai 2024,7.24,4,Autographs,2024-12-14
Adesivo | 910 (Holográfico) | Xangai 2024,9.52,7,Autographs,2024-12-14
Adesivo | FlameZ (Holográfico) | Xangai 2024,0.54,33,Autographs,2024-12-14
Adesivo | lux (Holográfico) | Xangai 2024,1.91,7,Autographs,2024-12-14
Adesivo | lux (Dourado) | Xangai 2024,27.27,7,Autographs,2024-12-14
Adesivo | NQZ (Dourado) | Xangai 2024,9.6,4,Autographs,2024-12-14
Adesivo | biguzera (Holográfico) | Xangai 2024,0.75,9,Autographs,2024-12-14
Adesivo | Twistzz (Purpurinado) | Xangai 2024,1.72,21,Autographs,2024-12-14
Adesivo | NAF (Dourado) | Xangai 2024,19.05,4,Autographs,2024-12-13
Adesivo | INS (Dourado) | Xangai 2024,14.2,6,Autographs,2024-12-14
Adesivo | zeRRoFIX (Dourado) | Xangai 2024,80.0,2,Autographs,2024-12-14
Adesivo | sl3nd (Dourado) | Xangai 2024,4.11,3,Autographs,2024-12-14
Adesivo | NQZ (Holográfico) | Xangai 2024,1.3,14,Autographs,2024-12-12
Adesivo | TRY (Dourado) | Xangai 2024,20.35,1,Autographs,2024-12-13
Adesivo | Senzu (Dourado) | Xangai 2024,50.0,4,Autographs,2024-12-14
Adesivo | Liazz (Holográfico) | Xangai 2024,1.17,18,Autographs,2024-12-14
Adesivo | hallzerk (Purpurinado) | Xangai 2024,0.08,39,Autographs,2024-12-14
Adesivo | Perfecto (Dourado) | Xangai 2024,10.51,6,Autographs,2024-12-14
Adesivo | KRIMZ (Purpurinado) | Xangai 2024,0.16,16,Autographs,2024-12-14
Adesivo | FalleN (Holográfico) | Xangai 2024,10.2,5,Autographs,2024-12-13
Adesivo | skullz (Dourado) | Xangai 2024,48.73,4,Autographs,2024-12-14
Adesivo | Krimbo (Dourado) | Xangai 2024,15.79,4,Autographs,2024-12-12
Adesivo | jL (Dourado) | Xangai 2024,8.59,22,Autographs,2024-12-14
Adesivo | brnz4n (Holo) | Shanghai 2024,0.99,17,Autographs,2024-12-13
Adesivo | NAF (Holográfico) | Xangai 2024,3.29,10,Autographs,2024-12-14
Adesivo | INS (Holográfico) | Xangai 2024,2.88,13,Autographs,2024-12-13
Adesivo | Lucky (Holográfico) | Xangai 2024,1.33,27,Autographs,2024-12-14
Adesivo | dexter (Dourado) | Xangai 2024,74.46,7,Autographs,2024-12-14
Adesivo | FL1T | Xangai 2024,0.04,52,Autographs,2024-12-14
Adesivo | NQZ (Purpurinado) | Xangai 2024,0.09,25,Autographs,2024-12-14
Adesivo | m0NESY (Dourado) | Xangai 2024,105.65,8,Autographs,2024-12-14
Adesivo | jackasmo (Holográfico) | Xangai 2024,0.99,8,Autographs,2024-12-14
Adesivo | frozen (Dourado) | Xangai 2024,37.55,2,Autographs,2024-12-14
Adesivo | ICY (Purpurinado) | Xangai 2024,0.12,24,Autographs,2024-12-13
Adesivo | FL4MUS (Holográfico) | Xangai 2024,2.45,14,Autographs,2024-12-14
Adesivo | KSCERATO (Holográfico) | Xangai 2024,11.98,13,Autographs,2024-12-14
Adesivo | floppy (Dourado) | Xangai 2024,6.62,3,Autographs,2024-12-14
Adesivo | b1t (Dourado) | Xangai 2024,7.6,12,Autographs,2024-12-14
Adesivo | sh1ro (Dourado) | Xangai 2024,32.31,4,Autographs,2024-12-14
Adesivo | FalleN (Dourado) | Xangai 2024,58.43,1,Autographs,2024-12-14
Adesivo | apEX (Holográfico) | Xangai 2024,0.96,38,Autographs,2024-12-14
Adesivo | phzy (Dourado) | Xangai 2024,6.05,6,Autographs,2024-12-13
Adesivo | rigoN (Purpurinado) | Xangai 2024,0.4,7,Autographs,2024-12-13
Adesivo | stanislaw (Purpurinado) | Xangai 2024,0.11,28,Autographs,2024-12-14
Adesivo | bodyy (Purpurinado) | Xangai 2024,0.19,23,Autographs,2024-12-14
Adesivo | Grim | Xangai 2024,0.04,37,Autographs,2024-12-14
Adesivo | jambo (Holográfico) | Xangai 2024,1.1,21,Autographs,2024-12-13
Adesivo | syrsoN (Dourado) | Xangai 2024,31.29,2,Autographs,2024-12-14
Adesivo | felps (Holográfico) | Xangai 2024,0.58,21,Autographs,2024-12-14
