nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,88.37,13,Legends,2024-12-09
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.9,34,Legends,2024-12-08
Adesivo | FaZe Clan (Dourado) | Xangai 2024,14.88,11,Legends,2024-12-09
Adesivo | Natus Vincere (Dourado) | Xangai 2024,7.22,26,Legends,2024-12-09
Adesivo | Vitality (Dourado) | Xangai 2024,42.32,10,Legends,2024-12-09
Adesivo | Team Spirit (Dourado) | Xangai 2024,31.24,14,Legends,2024-12-09
Adesivo | MOUZ (Dourado) | Xangai 2024,12.91,17,Legends,2024-12-09
Adesivo | FaZe Clan | Xangai 2024,0.04,90,Legends,2024-12-09
Adesivo | Natus Vincere | Xangai 2024,0.05,115,Legends,2024-12-08
Adesivo | 3DMAX (Dourado) | Xangai 2024,5.31,30,Legends,2024-12-09
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,3.17,29,Legends,2024-12-09
Cápsula de Adesivos das Lendas do Xangai 2024,1.07,510,Legends,2024-12-08
Adesivo | G2 Esports (Holográfico) | Xangai 2024,11.96,24,Legends,2024-12-09
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.73,27,Legends,2024-12-08
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.5,57,Legends,2024-12-09
Adesivo | Team Spirit | Xangai 2024,0.08,107,Legends,2024-12-08
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.95,19,Legends,2024-12-09
Adesivo | HEROIC | Xangai 2024,0.03,181,Legends,2024-12-09
Adesivo | HEROIC (Dourado) | Xangai 2024,8.92,16,Legends,2024-12-09
Adesivo | Vitality | Xangai 2024,0.1,66,Legends,2024-12-09
Adesivo | Vitality (Holográfico) | Xangai 2024,6.33,36,Legends,2024-12-09
Adesivo | 3DMAX | Xangai 2024,0.06,95,Legends,2024-12-09
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.15,32,Legends,2024-12-08
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.37,52,Legends,2024-12-09
Adesivo | G2 Esports | Xangai 2024,0.13,82,Legends,2024-12-08
Adesivo | MOUZ | Xangai 2024,0.07,121,Legends,2024-12-09
Adesivo | hallzerk (Dourado) | Xangai 2024,7.77,5,Autographs,2024-12-09
Adesivo | YEKINDAR (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-08
Adesivo | JT (Dourado) | Xangai 2024,22.0,1,Autographs,2024-12-09
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,86.67,1,Autographs,2024-12-08
Adesivo | tabseN (Dourado) | Xangai 2024,28.0,4,Autographs,2024-12-09
Adesivo | bodyy (Dourado) | Xangai 2024,13.15,4,Autographs,2024-12-09
Adesivo | Liazz (Dourado) | Xangai 2024,4.94,6,Autographs,2024-12-08
Adesivo | rigoN (Dourado) | Xangai 2024,24.32,2,Autographs,2024-12-08
Adesivo | electronic (Holográfico) | Xangai 2024,2.96,10,Autographs,2024-12-08
Adesivo | afro (Purpurinado) | Xangai 2024,0.25,15,Autographs,2024-12-08
Adesivo | bLitz (Holográfico) | Xangai 2024,8.05,3,Autographs,2024-12-09
Adesivo | EliGE (Dourado) | Xangai 2024,10.92,6,Autographs,2024-12-09
Adesivo | s-chilla (Dourado) | Xangai 2024,20.48,8,Autographs,2024-12-08
Adesivo | jackasmo (Dourado) | Xangai 2024,7.01,3,Autographs,2024-12-08
Adesivo | ultimate (Dourado) | Xangai 2024,31.01,2,Autographs,2024-12-09
Adesivo | L1haNg (Dourado) | Xangai 2024,136.62,1,Autographs,2024-12-09
Adesivo | Jame (Dourado) | Xangai 2024,15.82,4,Autographs,2024-12-09
Adesivo | JDC (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-09
Adesivo | KRIMZ (Dourado) | Xangai 2024,12.22,5,Autographs,2024-12-09
Adesivo | blameF (Holográfico) | Xangai 2024,1.11,11,Autographs,2024-12-08
Adesivo | Snax (Dourado) | Xangai 2024,25.53,3,Autographs,2024-12-08
Adesivo | kyxsan (Dourado) | Xangai 2024,5.77,11,Autographs,2024-12-09
Adesivo | floppy (Holográfico) | Xangai 2024,1.07,16,Autographs,2024-12-09
Adesivo | chelo (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-09
Adesivo | Maka (Dourado) | Xangai 2024,4.96,19,Autographs,2024-12-09
Adesivo | JDC (Holográfico) | Xangai 2024,1.22,12,Autographs,2024-12-09
Adesivo | FL1T (Holográfico) | Xangai 2024,1.44,13,Autographs,2024-12-09
Adesivo | jks (Holográfico) | Xangai 2024,10.05,4,Autographs,2024-12-08
Adesivo | ultimate (Purpurinado) | Xangai 2024,1.09,3,Autographs,2024-12-09
Adesivo | afro (Holográfico) | Xangai 2024,1.65,11,Autographs,2024-12-09
Adesivo | 910 (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-09
Adesivo | Kaze (Dourado) | Xangai 2024,259.99,2,Autographs,2024-12-09
Adesivo | susp (Dourado) | Xangai 2024,7.55,7,Autographs,2024-12-09
Adesivo | Graviti (Holográfico) | Xangai 2024,1.64,23,Autographs,2024-12-08
Adesivo | aliStair (Holográfico) | Xangai 2024,1.49,11,Autographs,2024-12-09
Adesivo | decenty (Holográfico) | Xangai 2024,0.59,19,Autographs,2024-12-09
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.69,20,Autographs,2024-12-08
Adesivo | biguzera (Dourado) | Xangai 2024,11.64,5,Autographs,2024-12-08
Adesivo | 910 (Holográfico) | Xangai 2024,32.2,2,Autographs,2024-12-08
Adesivo | FlameZ (Holográfico) | Xangai 2024,1.57,19,Autographs,2024-12-09
Adesivo | lux (Holográfico) | Xangai 2024,0.88,11,Autographs,2024-12-09
Adesivo | lux (Dourado) | Xangai 2024,35.0,4,Autographs,2024-12-09
Adesivo | NQZ (Dourado) | Xangai 2024,6.0,5,Autographs,2024-12-08
Adesivo | biguzera (Holográfico) | Xangai 2024,1.06,10,Autographs,2024-12-09
Adesivo | Twistzz (Purpurinado) | Xangai 2024,2.25,8,Autographs,2024-12-09
Adesivo | NAF (Dourado) | Xangai 2024,22.14,2,Autographs,2024-12-09
Adesivo | INS (Dourado) | Xangai 2024,9.93,7,Autographs,2024-12-09
Adesivo | zeRRoFIX (Dourado) | Xangai 2024,5.36,8,Autographs,2024-12-09
Adesivo | sl3nd (Dourado) | Xangai 2024,8.66,7,Autographs,2024-12-09
Adesivo | NQZ (Holográfico) | Xangai 2024,1.44,10,Autographs,2024-12-08
Adesivo | TRY (Dourado) | Xangai 2024,3.16,9,Autographs,2024-12-09
Adesivo | Senzu (Dourado) | Xangai 2024,124.32,2,Autographs,2024-12-08
Adesivo | Liazz (Holográfico) | Xangai 2024,1.38,12,Autographs,2024-12-08
Adesivo | hallzerk (Purpurinado) | Xangai 2024,0.2,37,Autographs,2024-12-09
Adesivo | Perfecto (Dourado) | Xangai 2024,7.5,9,Autographs,2024-12-09
Adesivo | KRIMZ (Purpurinado) | Xangai 2024,0.15,21,Autographs,2024-12-09
Adesivo | FalleN (Holográfico) | Xangai 2024,12.6,4,Autographs,2024-12-09
Adesivo | skullz (Dourado) | Xangai 2024,122.89,1,Autographs,2024-12-09
Adesivo | Krimbo (Dourado) | Xangai 2024,17.02,5,Autographs,2024-12-08
Adesivo | jL (Dourado) | Xangai 2024,24.31,8,Autographs,2024-12-09
Adesivo | brnz4n (Holo) | Shanghai 2024,1.07,17,Autographs,2024-12-09
Adesivo | NAF (Holográfico) | Xangai 2024,4.4,10,Autographs,2024-12-08
Adesivo | INS (Holográfico) | Xangai 2024,2.95,13,Autographs,2024-12-09
Adesivo | Lucky (Holográfico) | Xangai 2024,2.19,20,Autographs,2024-12-08
Adesivo | dexter (Dourado) | Xangai 2024,77.01,5,Autographs,2024-12-09
Adesivo | FL1T | Xangai 2024,0.06,19,Autographs,2024-12-09
Adesivo | NQZ (Purpurinado) | Xangai 2024,0.18,22,Autographs,2024-12-08
Adesivo | m0NESY (Dourado) | Xangai 2024,234.23,4,Autographs,2024-12-09
Adesivo | jackasmo (Holográfico) | Xangai 2024,1.0,4,Autographs,2024-12-09
Adesivo | frozen (Dourado) | Xangai 2024,9.2,9,Autographs,2024-12-09
Adesivo | ICY (Purpurinado) | Xangai 2024,0.11,37,Autographs,2024-12-09
Adesivo | FL4MUS (Holográfico) | Xangai 2024,3.64,12,Autographs,2024-12-09
Adesivo | KSCERATO (Holográfico) | Xangai 2024,20.85,9,Autographs,2024-12-09
Adesivo | floppy (Dourado) | Xangai 2024,6.86,3,Autographs,2024-12-08
Adesivo | b1t (Dourado) | Xangai 2024,10.24,11,Autographs,2024-12-09
Adesivo | sh1ro (Dourado) | Xangai 2024,19.85,7,Autographs,2024-12-09
Adesivo | FalleN (Dourado) | Xangai 2024,57.44,4,Autographs,2024-12-08
Adesivo | apEX (Holográfico) | Xangai 2024,1.31,31,Autographs,2024-12-09
Adesivo | phzy (Dourado) | Xangai 2024,8.3,5,Autographs,2024-12-09
Adesivo | rigoN (Purpurinado) | Xangai 2024,0.13,26,Autographs,2024-12-09
Adesivo | stanislaw (Purpurinado) | Xangai 2024,0.13,31,Autographs,2024-12-09
Adesivo | bodyy (Purpurinado) | Xangai 2024,0.38,10,Autographs,2024-12-08
Adesivo | Grim | Xangai 2024,0.05,23,Autographs,2024-12-09
Adesivo | jambo (Holográfico) | Xangai 2024,1.47,22,Autographs,2024-12-09
Adesivo | syrsoN (Dourado) | Xangai 2024,15.8,5,Autographs,2024-12-09
Adesivo | felps (Holográfico) | Xangai 2024,0.66,24,Autographs,2024-12-09
Adesivo | rain (Holográfico) | Xangai 2024,1.67,23,Autographs,2024-12-09
Adesivo | yuurih | Xangai 2024,0.11,19,Autographs,2024-12-09
Adesivo | MATYS (Purpurinado) | Xangai 2024,0.19,29,Autographs,2024-12-09
