nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,75.0,12,Legends,2024-12-10
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.16,44,Legends,2024-12-10
Adesivo | FaZe Clan (Dourado) | Xangai 2024,12.39,20,Legends,2024-12-10
Adesivo | Natus Vincere (Dourado) | Xangai 2024,8.93,19,Legends,2024-12-10
Adesivo | Vitality (Dourado) | Xangai 2024,29.78,9,Legends,2024-12-10
Adesivo | Team Spirit (Dourado) | Xangai 2024,38.08,10,Legends,2024-12-10
Adesivo | MOUZ (Dourado) | Xangai 2024,14.39,16,Legends,2024-12-10
Adesivo | FaZe Clan | Xangai 2024,0.04,95,Legends,2024-12-10
Adesivo | Natus Vincere | Xangai 2024,0.06,124,Legends,2024-12-10
Adesivo | 3DMAX (Dourado) | Xangai 2024,5.31,30,Legends,2024-12-09
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,2.72,32,Legends,2024-12-10
Cápsula de Adesivos das Lendas do Xangai 2024,1.28,181,Legends,2024-12-10
Adesivo | G2 Esports (Holográfico) | Xangai 2024,11.96,24,Legends,2024-12-09
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.8,30,Legends,2024-12-10
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.5,53,Legends,2024-12-10
Adesivo | Team Spirit | Xangai 2024,0.08,107,Legends,2024-12-08
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.58,21,Legends,2024-12-10
Adesivo | HEROIC | Xangai 2024,0.03,181,Legends,2024-12-09
Adesivo | HEROIC (Dourado) | Xangai 2024,9.28,17,Legends,2024-12-10
Adesivo | Vitality | Xangai 2024,0.1,66,Legends,2024-12-09
Adesivo | Vitality (Holográfico) | Xangai 2024,7.17,19,Legends,2024-12-10
Adesivo | 3DMAX | Xangai 2024,0.08,78,Legends,2024-12-10
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.14,44,Legends,2024-12-10
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.37,52,Legends,2024-12-09
Adesivo | G2 Esports | Xangai 2024,0.2,70,Legends,2024-12-10
Adesivo | MOUZ | Xangai 2024,0.05,120,Legends,2024-12-10
Adesivo | hallzerk (Dourado) | Xangai 2024,7.77,5,Autographs,2024-12-10
Adesivo | YEKINDAR (Dourado) | Xangai 2024,86.85,3,Autographs,2024-12-10
Adesivo | JT (Dourado) | Xangai 2024,17.87,2,Autographs,2024-12-10
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,29.79,4,Autographs,2024-12-10
Adesivo | tabseN (Dourado) | Xangai 2024,35.48,3,Autographs,2024-12-10
Adesivo | bodyy (Dourado) | Xangai 2024,13.15,4,Autographs,2024-12-09
Adesivo | Liazz (Dourado) | Xangai 2024,4.94,6,Autographs,2024-12-08
Adesivo | rigoN (Dourado) | Xangai 2024,24.32,2,Autographs,2024-12-08
Adesivo | electronic (Holográfico) | Xangai 2024,1.98,15,Autographs,2024-12-10
Adesivo | afro (Purpurinado) | Xangai 2024,0.18,22,Autographs,2024-12-10
Adesivo | bLitz (Holográfico) | Xangai 2024,7.41,4,Autographs,2024-12-10
Adesivo | EliGE (Dourado) | Xangai 2024,10.92,4,Autographs,2024-12-10
Adesivo | s-chilla (Dourado) | Xangai 2024,12.15,12,Autographs,2024-12-10
Adesivo | jackasmo (Dourado) | Xangai 2024,7.02,3,Autographs,2024-12-10
Adesivo | ultimate (Dourado) | Xangai 2024,31.01,1,Autographs,2024-12-10
Adesivo | L1haNg (Dourado) | Xangai 2024,85.14,3,Autographs,2024-12-10
Adesivo | Jame (Dourado) | Xangai 2024,11.54,6,Autographs,2024-12-10
Adesivo | JDC (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-10
Adesivo | KRIMZ (Dourado) | Xangai 2024,9.52,7,Autographs,2024-12-10
Adesivo | blameF (Holográfico) | Xangai 2024,1.03,8,Autographs,2024-12-10
Adesivo | Snax (Dourado) | Xangai 2024,25.53,3,Autographs,2024-12-08
Adesivo | kyxsan (Dourado) | Xangai 2024,5.77,11,Autographs,2024-12-09
Adesivo | floppy (Holográfico) | Xangai 2024,1.1,15,Autographs,2024-12-10
Adesivo | chelo (Dourado) | Xangai 2024,47.45,1,Autographs,2024-12-10
Adesivo | Maka (Dourado) | Xangai 2024,4.41,18,Autographs,2024-12-10
Adesivo | JDC (Holográfico) | Xangai 2024,1.22,15,Autographs,2024-12-10
Adesivo | FL1T (Holográfico) | Xangai 2024,1.0,13,Autographs,2024-12-10
Adesivo | jks (Holográfico) | Xangai 2024,10.05,4,Autographs,2024-12-08
Adesivo | ultimate (Purpurinado) | Xangai 2024,1.65,9,Autographs,2024-12-10
Adesivo | afro (Holográfico) | Xangai 2024,1.64,13,Autographs,2024-12-10
Adesivo | 910 (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-09
Adesivo | Kaze (Dourado) | Xangai 2024,259.99,1,Autographs,2024-12-10
Adesivo | susp (Dourado) | Xangai 2024,7.55,7,Autographs,2024-12-09
Adesivo | Graviti (Holográfico) | Xangai 2024,1.64,23,Autographs,2024-12-08
Adesivo | aliStair (Holográfico) | Xangai 2024,1.49,11,Autographs,2024-12-09
Adesivo | decenty (Holográfico) | Xangai 2024,0.59,19,Autographs,2024-12-09
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.59,26,Autographs,2024-12-10
Adesivo | biguzera (Dourado) | Xangai 2024,9.09,6,Autographs,2024-12-10
Adesivo | 910 (Holográfico) | Xangai 2024,34.0,2,Autographs,2024-12-10
Adesivo | FlameZ (Holográfico) | Xangai 2024,1.57,19,Autographs,2024-12-09
Adesivo | lux (Holográfico) | Xangai 2024,0.88,12,Autographs,2024-12-10
Adesivo | lux (Dourado) | Xangai 2024,32.04,4,Autographs,2024-12-10
Adesivo | NQZ (Dourado) | Xangai 2024,9.91,3,Autographs,2024-12-10
Adesivo | biguzera (Holográfico) | Xangai 2024,1.06,10,Autographs,2024-12-09
