nome,preco,quantidade,tipo,data_scraping
Adesivo | sl3nd (Dourado) | Xangai 2024,7.33,4,Autographs,2024-12-17
Adesivo | NQZ (Holográfico) | Xangai 2024,1.05,17,Autographs,2024-12-16
Adesivo | TRY (Dourado) | Xangai 2024,3.97,7,Autographs,2024-12-17
Adesivo | Senzu (Dourado) | Xangai 2024,23.0,3,Autographs,2024-12-17
Adesivo | Liazz (Holográfico) | Xangai 2024,2.68,6,Autographs,2024-12-17
Adesivo | hallzerk (Purpurinado) | Xangai 2024,0.07,33,Autographs,2024-12-17
Adesivo | Perfecto (Dourado) | Xangai 2024,8.11,9,Autographs,2024-12-17
Adesivo | KRIMZ (Purpurinado) | Xangai 2024,0.16,17,Autographs,2024-12-17
Adesivo | FalleN (Holográfico) | Xangai 2024,7.94,11,Autographs,2024-12-17
Adesivo | skullz (Dourado) | Xangai 2024,27.43,8,Autographs,2024-12-17
Adesivo | Krimbo (Dourado) | Xangai 2024,17.34,3,Autographs,2024-12-17
Adesivo | jL (Dourado) | Xangai 2024,13.01,8,Autographs,2024-12-16
Adesivo | brnz4n (Holo) | Shanghai 2024,0.96,16,Autographs,2024-12-17
Adesivo | NAF (Holográfico) | Xangai 2024,2.3,12,Autographs,2024-12-17
Adesivo | INS (Holográfico) | Xangai 2024,4.1,1,Autographs,2024-12-17
Adesivo | Lucky (Holográfico) | Xangai 2024,1.33,27,Autographs,2024-12-14
Adesivo | dexter (Dourado) | Xangai 2024,44.06,13,Autographs,2024-12-17
Adesivo | FL1T | Xangai 2024,0.04,52,Autographs,2024-12-16
Adesivo | NQZ (Purpurinado) | Xangai 2024,0.11,21,Autographs,2024-12-16
Adesivo | m0NESY (Dourado) | Xangai 2024,95.3,12,Autographs,2024-12-16
Adesivo | jackasmo (Holográfico) | Xangai 2024,1.23,6,Autographs,2024-12-17
Adesivo | frozen (Dourado) | Xangai 2024,9.86,9,Autographs,2024-12-17
Adesivo | ICY (Purpurinado) | Xangai 2024,0.11,21,Autographs,2024-12-16
Adesivo | FL4MUS (Holográfico) | Xangai 2024,1.61,20,Autographs,2024-12-16
Adesivo | KSCERATO (Holográfico) | Xangai 2024,10.01,10,Autographs,2024-12-17
Adesivo | floppy (Dourado) | Xangai 2024,52.44,1,Autographs,2024-12-17
Adesivo | b1t (Dourado) | Xangai 2024,9.58,11,Autographs,2024-12-17
Adesivo | sh1ro (Dourado) | Xangai 2024,26.6,16,Autographs,2024-12-17
Adesivo | FalleN (Dourado) | Xangai 2024,55.26,1,Autographs,2024-12-16
Adesivo | apEX (Holográfico) | Xangai 2024,0.41,49,Autographs,2024-12-16
Adesivo | phzy (Dourado) | Xangai 2024,11.5,3,Autographs,2024-12-17
Adesivo | rigoN (Purpurinado) | Xangai 2024,0.08,26,Autographs,2024-12-17
Adesivo | stanislaw (Purpurinado) | Xangai 2024,0.11,27,Autographs,2024-12-16
Adesivo | bodyy (Purpurinado) | Xangai 2024,0.15,25,Autographs,2024-12-16
Adesivo | Grim | Xangai 2024,0.04,39,Autographs,2024-12-17
Adesivo | jambo (Holográfico) | Xangai 2024,1.16,13,Autographs,2024-12-17
Adesivo | syrsoN (Dourado) | Xangai 2024,11.01,5,Autographs,2024-12-17
Adesivo | felps (Holográfico) | Xangai 2024,0.65,16,Autographs,2024-12-17
Adesivo | rain (Holográfico) | Xangai 2024,2.45,8,Autographs,2024-12-13
Adesivo | yuurih | Xangai 2024,0.12,22,Autographs,2024-12-16
Adesivo | MATYS (Purpurinado) | Xangai 2024,0.08,28,Autographs,2024-12-16
Adesivo | yuurih (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-11
Adesivo | mzinho (Purpurinado) | Xangai 2024,0.61,37,Autographs,2024-12-17
Adesivo | insani (Holográfico) | Xangai 2024,1.78,16,Autographs,2024-12-14
Adesivo | Sonic (Purpurinado) | Xangai 2024,0.1,33,Autographs,2024-12-17
Adesivo | exit (Holográfico) | Xangai 2024,0.94,21,Autographs,2024-12-16
Adesivo | drop (Holográfico) | Xangai 2024,1.79,17,Autographs,2024-12-17
Adesivo | Krimbo (Holográfico) | Xangai 2024,2.01,13,Autographs,2024-12-12
Adesivo | Heavygod (Dourado) | Xangai 2024,6.14,5,Autographs,2024-12-17
Adesivo | yuurih (Holográfico) | Xangai 2024,4.14,14,Autographs,2024-12-17
Adesivo | degster (Dourado) | Xangai 2024,4.25,13,Autographs,2024-12-17
Adesivo | xertioN (Purpurinado) | Xangai 2024,0.06,95,Autographs,2024-12-14
