nome,preco,quantidade,tipo,data_scraping
Adesivo | G2 Esports (Dourado) | Xangai 2024,69.72,11,Legends,2024-12-08
Adesivo | FaZe Clan (Holográfico) | Xangai 2024,2.9,34,Legends,2024-12-08
Adesivo | FaZe Clan (Dourado) | Xangai 2024,16.99,6,Legends,2024-12-08
Adesivo | Natus Vincere (Dourado) | Xangai 2024,11.59,29,Legends,2024-12-08
Adesivo | Vitality (Dourado) | Xangai 2024,45.62,9,Legends,2024-12-08
Adesivo | Team Spirit (Dourado) | Xangai 2024,33.53,10,Legends,2024-12-08
Adesivo | MOUZ (Dourado) | Xangai 2024,18.81,13,Legends,2024-12-08
Adesivo | FaZe Clan | Xangai 2024,0.06,65,Legends,2024-12-08
Adesivo | Natus Vincere | Xangai 2024,0.05,115,Legends,2024-12-08
Adesivo | 3DMAX (Dourado) | Xangai 2024,6.56,29,Legends,2024-12-08
Adesivo | Natus Vincere (Holográfico) | Xangai 2024,3.24,36,Legends,2024-12-08
Cápsula de Adesivos das Lendas do Xangai 2024,1.07,510,Legends,2024-12-08
Adesivo | G2 Esports (Holográfico) | Xangai 2024,14.75,9,Legends,2024-12-08
Adesivo | Vitality (Purpurinado) | Xangai 2024,0.73,27,Legends,2024-12-08
Adesivo | 3DMAX (Purpurinado) | Xangai 2024,0.46,53,Legends,2024-12-08
Adesivo | Team Spirit | Xangai 2024,0.08,107,Legends,2024-12-08
Adesivo | MOUZ (Holográfico) | Xangai 2024,5.99,32,Legends,2024-12-08
Adesivo | HEROIC | Xangai 2024,0.04,128,Legends,2024-12-08
Adesivo | HEROIC (Dourado) | Xangai 2024,9.73,17,Legends,2024-12-08
Adesivo | Vitality | Xangai 2024,0.05,114,Legends,2024-12-08
Adesivo | Vitality (Holográfico) | Xangai 2024,7.43,28,Legends,2024-12-08
Adesivo | 3DMAX | Xangai 2024,0.06,90,Legends,2024-12-08
Adesivo | HEROIC (Purpurinado) | Xangai 2024,0.15,32,Legends,2024-12-08
Adesivo | MOUZ (Purpurinado) | Xangai 2024,0.41,40,Legends,2024-12-08
Adesivo | G2 Esports | Xangai 2024,0.13,82,Legends,2024-12-08
Adesivo | MOUZ | Xangai 2024,0.05,131,Legends,2024-12-08
Adesivo | hallzerk (Dourado) | Xangai 2024,8.85,4,Autographs,2024-12-08
Adesivo | YEKINDAR (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-08
Adesivo | JT (Dourado) | Xangai 2024,19.82,1,Autographs,2024-12-08
Adesivo | n0rb3r7 (Dourado) | Xangai 2024,86.67,1,Autographs,2024-12-08
Adesivo | tabseN (Dourado) | Xangai 2024,36.47,4,Autographs,2024-12-08
Adesivo | bodyy (Dourado) | Xangai 2024,13.47,3,Autographs,2024-12-08
Adesivo | Liazz (Dourado) | Xangai 2024,4.94,6,Autographs,2024-12-08
Adesivo | rigoN (Dourado) | Xangai 2024,24.32,2,Autographs,2024-12-08
Adesivo | electronic (Holográfico) | Xangai 2024,2.96,10,Autographs,2024-12-08
Adesivo | afro (Purpurinado) | Xangai 2024,0.25,15,Autographs,2024-12-08
Adesivo | bLitz (Holográfico) | Xangai 2024,8.7,4,Autographs,2024-12-08
Adesivo | EliGE (Dourado) | Xangai 2024,14.0,5,Autographs,2024-12-08
Adesivo | s-chilla (Dourado) | Xangai 2024,20.48,8,Autographs,2024-12-08
Adesivo | jackasmo (Dourado) | Xangai 2024,7.01,3,Autographs,2024-12-08
Adesivo | ultimate (Dourado) | Xangai 2024,30.96,2,Autographs,2024-12-08
Adesivo | L1haNg (Dourado) | Xangai 2024,21.05,2,Autographs,2024-12-08
Adesivo | Jame (Dourado) | Xangai 2024,22.16,3,Autographs,2024-12-08
Adesivo | JDC (Dourado) | Xangai 2024,0.0,0,Autographs,2024-12-08
Adesivo | KRIMZ (Dourado) | Xangai 2024,12.36,7,Autographs,2024-12-08
Adesivo | blameF (Holográfico) | Xangai 2024,1.11,11,Autographs,2024-12-08
Adesivo | Snax (Dourado) | Xangai 2024,25.53,3,Autographs,2024-12-08
Adesivo | kyxsan (Dourado) | Xangai 2024,5.98,8,Autographs,2024-12-08
Adesivo | floppy (Holográfico) | Xangai 2024,1.69,18,Autographs,2024-12-08
Adesivo | chelo (Dourado) | Xangai 2024,27.34,2,Autographs,2024-12-08
Adesivo | Maka (Dourado) | Xangai 2024,6.81,16,Autographs,2024-12-08
Adesivo | JDC (Holográfico) | Xangai 2024,1.35,13,Autographs,2024-12-08
Adesivo | FL1T (Holográfico) | Xangai 2024,1.49,10,Autographs,2024-12-08
Adesivo | jks (Holográfico) | Xangai 2024,10.05,4,Autographs,2024-12-08
Adesivo | ultimate (Purpurinado) | Xangai 2024,0.92,8,Autographs,2024-12-08
Adesivo | afro (Holográfico) | Xangai 2024,1.07,10,Autographs,2024-12-08
Adesivo | 910 (Dourado) | Xangai 2024,148.12,1,Autographs,2024-12-08
Adesivo | Kaze (Dourado) | Xangai 2024,624.32,1,Autographs,2024-12-08
Adesivo | susp (Dourado) | Xangai 2024,5.0,8,Autographs,2024-12-08
Adesivo | Graviti (Holográfico) | Xangai 2024,1.64,23,Autographs,2024-12-08
Adesivo | aliStair (Holográfico) | Xangai 2024,1.47,17,Autographs,2024-12-08
Adesivo | decenty (Holográfico) | Xangai 2024,0.66,19,Autographs,2024-12-08
Adesivo | kyxsan (Holográfico) | Xangai 2024,0.69,20,Autographs,2024-12-08
Adesivo | biguzera (Dourado) | Xangai 2024,11.64,5,Autographs,2024-12-08
Adesivo | 910 (Holográfico) | Xangai 2024,32.2,2,Autographs,2024-12-08
Adesivo | FlameZ (Holográfico) | Xangai 2024,1.56,22,Autographs,2024-12-08
Adesivo | lux (Holográfico) | Xangai 2024,2.0,12,Autographs,2024-12-08
Adesivo | lux (Dourado) | Xangai 2024,35.0,4,Autographs,2024-12-08
Adesivo | NQZ (Dourado) | Xangai 2024,6.0,5,Autographs,2024-12-08
Adesivo | biguzera (Holográfico) | Xangai 2024,1.1,8,Autographs,2024-12-08
Adesivo | Twistzz (Purpurinado) | Xangai 2024,2.83,4,Autographs,2024-12-08
Adesivo | NAF (Dourado) | Xangai 2024,13.0,2,Autographs,2024-12-08
Adesivo | INS (Dourado) | Xangai 2024,34.47,6,Autographs,2024-12-08
Adesivo | zeRRoFIX (Dourado) | Xangai 2024,6.86,4,Autographs,2024-12-08
Adesivo | sl3nd (Dourado) | Xangai 2024,10.46,5,Autographs,2024-12-08
Adesivo | NQZ (Holográfico) | Xangai 2024,1.44,10,Autographs,2024-12-08
Adesivo | TRY (Dourado) | Xangai 2024,4.07,12,Autographs,2024-12-08
Adesivo | Senzu (Dourado) | Xangai 2024,124.32,2,Autographs,2024-12-08
Adesivo | Liazz (Holográfico) | Xangai 2024,1.38,12,Autographs,2024-12-08
Adesivo | hallzerk (Purpurinado) | Xangai 2024,0.24,33,Autographs,2024-12-08
Adesivo | Perfecto (Dourado) | Xangai 2024,10.58,9,Autographs,2024-12-08
Adesivo | KRIMZ (Purpurinado) | Xangai 2024,0.15,24,Autographs,2024-12-08
Adesivo | FalleN (Holográfico) | Xangai 2024,9.61,5,Autographs,2024-12-08
Adesivo | skullz (Dourado) | Xangai 2024,46.0,2,Autographs,2024-12-08
Adesivo | Krimbo (Dourado) | Xangai 2024,17.02,5,Autographs,2024-12-08
Adesivo | jL (Dourado) | Xangai 2024,22.82,12,Autographs,2024-12-08
Adesivo | brnz4n (Holo) | Shanghai 2024,1.31,19,Autographs,2024-12-08
Adesivo | NAF (Holográfico) | Xangai 2024,4.4,10,Autographs,2024-12-08
Adesivo | INS (Holográfico) | Xangai 2024,3.23,9,Autographs,2024-12-08
Adesivo | Lucky (Holográfico) | Xangai 2024,2.19,20,Autographs,2024-12-08
Adesivo | dexter (Dourado) | Xangai 2024,137.44,6,Autographs,2024-12-08
Adesivo | FL1T | Xangai 2024,0.04,24,Autographs,2024-12-08
Adesivo | NQZ (Purpurinado) | Xangai 2024,0.18,22,Autographs,2024-12-08
Adesivo | m0NESY (Dourado) | Xangai 2024,172.47,5,Autographs,2024-12-08
Adesivo | jackasmo (Holográfico) | Xangai 2024,0.99,7,Autographs,2024-12-08
Adesivo | frozen (Dourado) | Xangai 2024,10.17,9,Autographs,2024-12-08
Adesivo | ICY (Purpurinado) | Xangai 2024,0.13,31,Autographs,2024-12-08
Adesivo | FL4MUS (Holográfico) | Xangai 2024,4.07,11,Autographs,2024-12-08
Adesivo | KSCERATO (Holográfico) | Xangai 2024,26.01,6,Autographs,2024-12-08
Adesivo | floppy (Dourado) | Xangai 2024,6.86,3,Autographs,2024-12-08
Adesivo | b1t (Dourado) | Xangai 2024,13.05,5,Autographs,2024-12-08
Adesivo | sh1ro (Dourado) | Xangai 2024,13.77,9,Autographs,2024-12-08
Adesivo | FalleN (Dourado) | Xangai 2024,57.44,4,Autographs,2024-12-08
Adesivo | apEX (Holográfico) | Xangai 2024,1.38,29,Autographs,2024-12-08
Adesivo | phzy (Dourado) | Xangai 2024,10.63,5,Autographs,2024-12-08
Adesivo | rigoN (Purpurinado) | Xangai 2024,0.07,33,Autographs,2024-12-08
Adesivo | stanislaw (Purpurinado) | Xangai 2024,0.1,43,Autographs,2024-12-08
